Shipment_ID,Origin,Destination,Distance_km,Vehicle_Type,Route_Traffic_Index,Weather,Driver_Experience_Years,Scheduled_Delivery_Hours,Actual_Delivery_Hours,Delayed
S0096,Lucknow,Chennai,1868.8,Truck,2.9,Foggy,0.1,27.1,26.7,0
S0097,Jaipur,Hyderabad,1171.6,Air,6.0,Clear,,1.0,0.6,0
S0098,Ahmedabad,Pune,984.7,Rail,8.7,Stormy,3.8,16.5,20.1,1
S0099,Jaipur,Kolkata,661.8,Rail,8.5,Clear,2.6,8.1,10.1,1
S0100,Pune,Ahmedabad,1232.4,Air,9.3,Stormy,1.8,1.0,1.8,1
S0101,Delhi,Ahmedabad,321.4,Truck,4.3,Foggy,5.7,4.1,5.8,1
S0102,Mumbai,Chennai,1801.6,Rail,3.9,Clear,1.2,24.3,25.3,0
S0103,Ahmedabad,Delhi,1667.2,Truck,7.7,Clear,8.0,28.8,29.6,0
S0104,Ahmedabad,Delhi,669.2,Air,4.9,Clear,8.1,1.6,0.5,0
S0105,Pune,Chennai,1908.0,Truck,1.8,Clear,2.7,33.1,31.1,0
S0106,Chennai,Jaipur,1659.1,Rail,3.5,Clear,1.7,18.5,18.8,0
S0107,Bangalore,Pune,1349.3,Air,4.8,Clear,1.7,1.0,3.2,1
S0108,Pune,Ahmedabad,287.4,Truck,3.6,Clear,3.3,6.4,6.4,0
S0109,Hyderabad,Ahmedabad,982.6,Truck,4.0,Clear,6.4,13.1,11.6,0
S0110,Bangalore,Jaipur,1036.9,Rail,3.6,Clear,2.2,13.0,12.9,0
S0111,Mumbai,Ahmedabad,503.5,Truck,1.4,Clear,4.7,5.0,1.2,0
S0112,Bangalore,Kolkata,205.9,Truck,6.7,Clear,,2.9,2.0,0
S0113,Chennai,Pune,1564.6,Truck,6.4,Clear,1.8,28.8,30.8,1
S0114,Bangalore,Lucknow,288.0,Truck,6.9,Clear,0.1,3.2,6.9,1
S0115,Mumbai,Ahmedabad,1208.9,Air,2.7,Clear,,3.7,4.1,1
S0116,Chennai,Chennai,1876.1,Truck,3.7,Foggy,1.3,31.2,32.3,1
S0117,Lucknow,Kolkata,1758.4,Truck,6.6,Clear,2.6,28.2,27.4,0
S0118,Ahmedabad,Ahmedabad,591.6,Truck,6.4,Clear,9.5,12.9,12.8,0
S0119,Ahmedabad,Kolkata,1710.3,Truck,5.6,Clear,8.0,28.6,27.5,0
S0120,Jaipur,Mumbai,50.6,Truck,4.2,Rainy,1.6,1.0,7.5,1
S0121,Lucknow,Lucknow,84.5,Truck,9.2,Foggy,1.4,1.0,7.4,1
S0122,Lucknow,Bangalore,1225.0,Truck,4.1,Foggy,1.3,20.4,23.1,1
S0123,Bangalore,Chennai,761.4,Truck,5.1,Rainy,2.1,15.2,18.1,1
S0124,Ahmedabad,Chennai,803.6,Rail,7.1,Clear,3.4,9.3,9.2,0
S0125,Mumbai,Pune,1150.7,Truck,5.9,Clear,2.9,18.9,22.4,1
S0126,Kolkata,Kolkata,424.0,Rail,4.1,Clear,1.2,2.3,0.5,0
S0127,Kolkata,Jaipur,462.9,Truck,4.9,Foggy,0.7,4.3,5.2,1
S0128,Chennai,Chennai,995.0,Truck,8.2,Rainy,0.1,18.0,23.7,1
S0129,Ahmedabad,Kolkata,1520.8,Rail,3.5,Rainy,0.8,17.8,18.1,0
S0130,Ahmedabad,Kolkata,1258.0,Truck,2.3,Clear,,18.7,16.1,0
S0131,Kolkata,Hyderabad,629.8,Air,3.8,Rainy,1.4,2.1,3.6,1
S0132,Ahmedabad,Hyderabad,889.2,Rail,8.6,Clear,3.2,10.2,12.8,1
S0133,Bangalore,Bangalore,382.8,Truck,1.8,Clear,4.5,8.3,9.1,0
S0134,Hyderabad,Mumbai,195.5,Rail,9.9,Clear,10.9,1.8,4.1,1
S0135,Delhi,Bangalore,1576.3,Rail,5.9,Clear,11.0,24.1,23.4,0
S0136,Lucknow,Ahmedabad,567.5,Truck,9.9,Clear,,9.1,10.4,1
S0137,Jaipur,Jaipur,396.6,Truck,9.5,Foggy,0.2,4.3,7.3,1
S0138,Chennai,Ahmedabad,1398.7,Truck,5.1,Clear,4.3,21.7,22.2,0
S0139,Hyderabad,Delhi,1255.2,Air,2.8,Clear,7.7,1.0,1.4,1
S0140,Kolkata,Ahmedabad,1284.7,Rail,2.5,Clear,0.1,16.6,16.3,0
S0141,Lucknow,Pune,496.3,Air,,Clear,4.0,1.0,0.5,0
S0142,Ahmedabad,Ahmedabad,503.7,Rail,7.4,Rainy,,5.7,4.6,0
S0143,Jaipur,Bangalore,480.6,Truck,,Rainy,3.2,8.2,8.7,0
S0144,Ahmedabad,Chennai,388.8,Truck,4.1,Rainy,0.0,4.1,7.6,1
S0145,Mumbai,Chennai,1328.7,Rail,5.0,Foggy,,17.9,20.2,1
S0146,Mumbai,Hyderabad,1703.6,Truck,9.2,Rainy,2.7,26.3,30.0,1
S0147,Jaipur,Jaipur,1462.4,Air,2.7,Clear,0.8,2.6,1.8,0
S0148,Jaipur,Jaipur,1594.6,Truck,1.0,Rainy,5.5,27.7,28.5,0
S0149,Kolkata,Pune,839.4,Truck,1.5,Clear,,14.9,15.6,0
S0150,Jaipur,Bangalore,1325.4,Rail,9.1,Clear,,17.9,18.3,0
S0151,Bangalore,Hyderabad,740.8,Rail,6.8,Clear,,8.9,8.9,0
S0152,Ahmedabad,Delhi,1074.7,Truck,3.5,Rainy,2.9,15.8,14.7,0
S0153,Hyderabad,Jaipur,989.2,Rail,2.6,Rainy,0.8,13.3,15.5,1
S0154,Pune,Chennai,394.9,Truck,3.6,Clear,7.2,5.9,7.6,1
S0155,Jaipur,Ahmedabad,804.8,Rail,2.0,Rainy,,9.7,6.9,0
S0156,Chennai,Ahmedabad,1929.5,Rail,9.5,Foggy,5.1,26.0,25.7,0
S0157,Mumbai,Hyderabad,534.7,Air,8.1,,9.6,2.8,0.9,0
S0158,Bangalore,Bangalore,310.9,Rail,5.2,Clear,,4.7,3.5,0
S0159,Lucknow,Bangalore,866.2,Truck,8.8,,,14.8,20.1,1
S0160,Pune,Mumbai,1591.2,Truck,3.2,Clear,2.8,27.6,27.1,0
S0161,Hyderabad,Lucknow,1185.2,Air,7.5,Rainy,6.9,1.0,2.1,1
S0162,Pune,Jaipur,1377.9,Truck,8.7,Clear,41.5,25.0,25.3,0
S0163,Jaipur,Bangalore,419.9,Air,4.2,Clear,,1.0,2.6,1
S0164,Kolkata,Chennai,1256.9,Truck,7.8,Rainy,0.6,20.5,23.5,1
S0165,Mumbai,Hyderabad,680.8,Rail,3.7,Rainy,3.7,9.1,8.2,0
S0166,Mumbai,Delhi,1676.9,Rail,3.7,Rainy,4.4,21.3,20.7,0
S0167,Lucknow,Mumbai,1277.1,Air,2.0,Foggy,1.0,1.2,3.3,1
S0168,Kolkata,Kolkata,437.8,Truck,5.0,Rainy,16.5,2.4,5.2,1
S0169,Ahmedabad,Pune,176.0,Rail,7.6,Rainy,1.0,4.1,3.5,0
S0170,Delhi,Delhi,133.1,Truck,9.5,Clear,1.0,4.1,5.7,1
S0171,Bangalore,Kolkata,774.2,Truck,6.4,Clear,12.3,11.6,11.1,0
S0172,Mumbai,Ahmedabad,568.4,Rail,8.8,Clear,,9.0,6.6,0
S0173,Chennai,Pune,1309.9,Rail,8.4,Rainy,0.3,19.7,19.6,0
S0174,Mumbai,Jaipur,1023.7,Air,2.6,Clear,,2.7,3.5,1
S0175,Pune,Chennai,568.7,Truck,5.4,Clear,4.6,9.8,9.1,0
S0176,Mumbai,Pune,341.0,Truck,2.1,Clear,0.3,8.2,6.9,0
S0177,Mumbai,Lucknow,298.0,Truck,7.1,Rainy,18.0,3.5,7.9,1
S0178,Delhi,Kolkata,1736.1,Truck,9.5,Foggy,3.9,29.2,35.0,1
S0179,Delhi,Jaipur,524.8,Truck,2.2,Clear,4.1,8.6,6.2,0
S0180,Hyderabad,Lucknow,1320.8,Rail,7.6,Foggy,3.7,17.1,17.0,0
S0181,Ahmedabad,Ahmedabad,1630.8,Truck,6.7,Clear,4.7,25.9,28.0,1
S0182,Chennai,Lucknow,1247.5,Air,6.3,Clear,1.5,5.4,5.1,0
S0183,Mumbai,Mumbai,1726.2,Air,,Foggy,,1.0,1.3,1
S0184,Mumbai,Mumbai,815.2,Rail,4.2,Clear,3.6,11.2,11.7,0
S0185,Bangalore,Hyderabad,1914.6,Air,1.4,Stormy,8.2,5.1,7.6,1
S0186,Delhi,Delhi,309.6,Rail,3.0,Clear,0.3,1.7,1.3,0
S0187,Chennai,Delhi,249.2,Truck,1.1,Clear,4.6,1.4,1.2,0
S0188,Lucknow,Jaipur,1334.4,Truck,6.2,Foggy,8.2,18.3,18.4,0
S0189,Hyderabad,Ahmedabad,1888.5,Truck,2.0,Clear,0.9,30.5,30.6,0
S0190,Ahmedabad,Bangalore,1627.3,Truck,8.9,,0.1,26.1,32.5,1
S0191,Kolkata,Mumbai,199.0,Air,5.7,Stormy,,1.0,2.8,1
S0192,Ahmedabad,Jaipur,594.8,Truck,7.3,Clear,4.4,7.5,7.2,0
S0193,Pune,Bangalore,1864.1,Air,4.7,Clear,0.7,6.0,6.6,0
S0194,Mumbai,Delhi,543.5,Rail,6.0,Clear,2.8,8.3,8.6,0
S0195,Hyderabad,Hyderabad,1573.3,Truck,9.5,Clear,4.0,25.9,28.9,1
S0196,Pune,Lucknow,1659.0,Air,1.7,Clear,4.6,3.8,5.1,1
S0197,Chennai,Mumbai,1016.1,Truck,3.3,,,16.7,17.5,0
S0198,Kolkata,Jaipur,803.4,Truck,8.0,Clear,2.6,8.5,11.6,1
S0199,Delhi,Pune,927.7,Rail,1.9,Clear,7.5,10.7,11.6,0
S0200,Hyderabad,Bangalore,492.6,Truck,1.7,Stormy,14.2,6.9,7.3,0
S0201,Hyderabad,Lucknow,1784.3,Rail,4.3,Rainy,,23.0,20.9,0
S0202,Mumbai,Mumbai,928.7,Truck,1.8,Rainy,4.2,14.7,13.9,0
S0203,Jaipur,Delhi,1770.8,Truck,6.3,Clear,,29.2,31.3,1
S0204,Hyderabad,Ahmedabad,256.1,Air,3.0,Rainy,2.0,1.0,1.5,1
S0205,Bangalore,Bangalore,1977.1,Truck,9.1,Clear,0.7,34.4,36.4,1
S0206,Kolkata,Delhi,914.4,Truck,8.1,Rainy,0.6,14.1,20.5,1
S0207,Kolkata,Mumbai,143.3,Truck,7.3,Stormy,,2.2,8.4,1
S0208,Bangalore,Bangalore,124.1,Air,6.6,Clear,1.5,1.2,0.5,0
S0209,Lucknow,Lucknow,1505.1,Truck,8.8,Rainy,1.5,23.6,28.7,1
S0210,Bangalore,Mumbai,1335.1,Truck,3.0,Rainy,31.6,18.1,18.8,0
S0211,Bangalore,Kolkata,1614.2,Truck,8.9,Foggy,1.0,25.2,31.0,1
S0212,Kolkata,Jaipur,255.5,Truck,8.1,Rainy,,5.0,10.5,1
S0213,Ahmedabad,Lucknow,119.4,Rail,7.7,Clear,0.5,1.4,1.6,1
S0214,Kolkata,Bangalore,1041.7,Rail,6.1,Clear,4.3,12.4,11.7,0
S0215,Jaipur,Ahmedabad,805.8,Truck,3.2,Clear,,18.8,19.1,0
S0216,Mumbai,Delhi,950.8,Rail,4.8,Rainy,2.3,9.8,13.9,1
S0217,Pune,Pune,1983.6,Truck,8.1,Clear,3.8,32.3,34.3,1
S0218,Ahmedabad,Delhi,1943.0,Air,1.3,,7.8,4.7,2.8,0
S0219,Delhi,Bangalore,1887.5,Air,8.0,Clear,,1.0,3.5,1
S0220,Pune,Delhi,1578.5,Truck,,Clear,15.8,25.9,26.5,0
S0221,Mumbai,Jaipur,741.9,Air,2.3,Clear,,1.0,0.9,0
S0222,Jaipur,Mumbai,853.7,Rail,2.0,Rainy,4.2,14.2,15.0,0
S0223,Jaipur,Pune,1121.8,Truck,1.2,Clear,1.0,18.0,15.8,0
S0224,Delhi,Chennai,1669.5,Truck,5.7,Clear,0.5,26.6,29.7,1
S0225,Ahmedabad,Bangalore,184.0,Truck,3.0,Clear,,4.6,2.1,0
S0226,Lucknow,Hyderabad,877.4,Rail,9.9,Clear,,11.1,11.2,0
S0227,Bangalore,Chennai,211.1,Air,6.2,Clear,,1.0,0.5,0
S0228,Ahmedabad,Delhi,1053.6,Rail,2.2,Rainy,,15.4,15.5,0
S0229,Lucknow,Bangalore,1802.9,Air,7.2,Clear,0.3,3.3,2.1,0
S0230,Jaipur,Kolkata,1575.8,Rail,9.1,Clear,3.8,18.2,22.3,1
S0231,Kolkata,Hyderabad,494.3,Rail,7.7,Rainy,13.7,9.8,9.7,0
S0232,Mumbai,Pune,1953.2,Rail,1.7,Stormy,4.6,27.5,32.3,1
S0233,Delhi,Ahmedabad,1351.3,Truck,9.1,Rainy,,21.3,24.2,1
S0234,Mumbai,Kolkata,70.3,Truck,8.1,Clear,8.1,2.5,4.4,1
S0235,Chennai,Chennai,548.1,Rail,2.4,Foggy,,6.0,7.8,1
S0236,Chennai,Mumbai,558.4,Truck,1.5,Stormy,7.4,6.4,8.8,1
S0237,Ahmedabad,Jaipur,185.0,Rail,6.0,Rainy,6.9,1.0,0.5,0
S0238,Jaipur,Ahmedabad,1921.7,Truck,2.4,Clear,1.3,30.6,30.5,0
S0239,Jaipur,Kolkata,982.6,Truck,8.5,Clear,0.3,15.0,15.9,0
S0240,Bangalore,Mumbai,1796.8,Rail,4.2,Rainy,3.6,23.4,25.8,1
S0241,Bangalore,Mumbai,678.3,Truck,9.2,Clear,,12.6,17.6,1
S0242,Bangalore,Bangalore,294.2,Truck,6.1,Clear,16.4,7.7,7.5,0
S0243,Kolkata,Kolkata,975.0,Truck,2.6,Rainy,1.7,17.5,18.8,1
S0244,Pune,Pune,272.2,Air,2.3,Rainy,,2.5,2.4,0
S0245,Hyderabad,Delhi,997.7,Truck,6.2,Clear,2.5,15.1,18.1,1
S0246,Pune,Hyderabad,1844.6,Air,7.9,Rainy,2.0,3.3,2.3,0
S0247,Mumbai,Hyderabad,1065.5,Truck,8.0,Clear,13.7,16.8,17.3,0
S0248,Pune,Chennai,1252.2,Air,3.5,Clear,2.3,1.0,0.5,0
S0249,Kolkata,Chennai,355.4,Air,2.8,Rainy,2.5,1.3,1.3,0
S0250,Mumbai,Hyderabad,135.3,Truck,1.2,Clear,0.6,1.4,2.6,1
S0251,Pune,Pune,266.1,Truck,7.1,Clear,,1.0,2.5,1
S0252,Kolkata,Jaipur,1217.1,Truck,1.7,Stormy,1.7,20.0,21.5,1
S0253,Hyderabad,Lucknow,235.3,Rail,4.8,Clear,4.4,3.7,3.4,0
S0254,Pune,Delhi,783.2,Truck,6.4,Clear,4.5,15.5,17.5,1
S0255,Kolkata,Jaipur,1122.7,Truck,9.4,Stormy,6.4,22.5,28.0,1
S0256,Bangalore,Bangalore,807.9,Truck,3.8,Rainy,,16.3,16.2,0
S0257,Jaipur,Lucknow,369.2,Truck,3.2,Rainy,3.6,5.9,6.4,0
S0258,Bangalore,Lucknow,583.9,Truck,6.9,Foggy,2.0,10.9,14.8,1
S0259,Jaipur,Kolkata,1860.2,Rail,6.6,Clear,9.1,21.5,22.4,0
S0260,Delhi,Pune,1368.2,Air,4.0,Rainy,1.9,1.2,0.5,0
S0261,Delhi,Pune,1017.3,Truck,9.4,Clear,3.5,16.9,17.0,0
S0262,Delhi,Lucknow,74.8,Truck,8.6,Rainy,2.6,3.1,7.2,1
S0263,Hyderabad,Kolkata,1985.2,Truck,3.0,Clear,9.7,33.0,31.9,0
S0264,Bangalore,Delhi,1359.3,Rail,3.2,Rainy,2.8,20.3,22.7,1
S0265,Jaipur,Lucknow,668.0,Air,5.6,Clear,2.4,3.7,3.5,0
S0266,Kolkata,Ahmedabad,1764.6,Air,8.0,Clear,5.9,1.0,1.0,0
S0267,Mumbai,Chennai,553.9,Air,1.4,Rainy,4.6,1.4,2.6,1
S0268,Kolkata,Chennai,1110.8,Truck,7.2,Rainy,0.6,19.1,21.5,1
S0269,Mumbai,Jaipur,1290.3,Rail,6.8,Rainy,,15.1,14.3,0
S0270,Chennai,Bangalore,481.1,Rail,3.1,Clear,6.6,7.1,7.9,1
S0271,Kolkata,Chennai,1957.9,Truck,7.1,Clear,24.2,34.0,35.5,1
S0272,Pune,Mumbai,1509.0,Air,9.5,Rainy,5.0,1.0,0.5,0
S0273,Pune,Jaipur,1137.7,Truck,1.4,Rainy,2.3,18.7,19.5,0
S0274,Ahmedabad,Chennai,402.2,Rail,3.9,Rainy,1.3,7.5,8.0,0
S0275,Bangalore,Bangalore,155.0,Truck,4.9,Foggy,10.3,1.0,3.4,1
S0276,Mumbai,Pune,674.1,Truck,9.1,Rainy,8.4,11.2,14.6,1
S0277,Mumbai,Pune,1518.7,Rail,9.7,Clear,1.3,15.8,16.2,0
S0278,Bangalore,Delhi,575.2,Truck,5.0,Rainy,,10.0,10.8,0
S0279,Hyderabad,Lucknow,1102.1,Truck,7.8,Foggy,6.3,19.9,23.7,1
S0280,Ahmedabad,Ahmedabad,1469.5,Truck,5.8,Rainy,1.9,24.6,27.5,1
S0281,Hyderabad,Pune,260.5,Rail,5.8,Rainy,1.8,5.1,6.0,1
S0282,Hyderabad,Kolkata,1386.3,Truck,3.5,Rainy,0.8,21.7,23.5,1
S0283,Hyderabad,Chennai,229.1,Truck,3.0,Clear,1.5,4.9,1.5,0
S0284,Bangalore,Kolkata,1932.0,Air,3.6,Clear,2.8,1.0,2.0,1
S0285,Hyderabad,Bangalore,1002.4,Rail,,Clear,6.6,14.9,16.5,1
S0286,Pune,Pune,343.8,Truck,1.3,Stormy,,7.5,10.1,1
S0287,Delhi,Ahmedabad,717.6,Rail,9.2,Rainy,2.0,6.9,6.9,0
S0288,Chennai,Bangalore,856.2,Rail,2.4,Clear,1.7,6.7,8.9,1
S0289,Mumbai,Mumbai,1528.5,Air,3.0,Foggy,3.3,1.0,0.7,0
S0290,Mumbai,Mumbai,1499.7,Truck,5.7,Clear,,27.1,25.3,0
S0291,Chennai,Kolkata,1243.3,Truck,7.4,Clear,3.3,18.3,20.1,1
S0292,Bangalore,Lucknow,256.6,Truck,1.9,Rainy,,5.3,5.9,1
S0293,Kolkata,Jaipur,345.6,Truck,3.9,Rainy,0.2,5.7,10.0,1
S0294,Bangalore,Lucknow,232.8,Truck,9.7,Clear,,5.2,8.5,1
S0295,Mumbai,Delhi,1175.5,Truck,3.4,Clear,0.4,21.1,20.8,0
S0296,Mumbai,Lucknow,1760.4,Rail,3.8,Clear,3.8,26.4,23.0,0
S0297,Chennai,Delhi,895.9,Truck,,Clear,9.6,17.8,21.0,1
S0298,Hyderabad,Delhi,363.7,Truck,,Clear,0.0,6.6,5.9,0
S0299,Bangalore,Ahmedabad,1138.2,Air,5.2,Clear,,1.3,3.0,1
S0300,Jaipur,Pune,1632.9,Truck,4.4,Clear,0.6,27.1,26.6,0
S0301,Chennai,Ahmedabad,1496.3,Truck,3.8,Clear,9.2,26.7,28.5,1
S0302,Pune,Delhi,1768.8,Rail,3.6,Clear,3.3,18.3,21.9,1
